File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF058QKX	bam	bam		alignments	GRCh38	ENCSR000BQY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										PML-human	DNA						2012-02-29	ENCODE		see document		1	1_1		36					/files/ENCFF000QDH/, /files/ENCFF110MCL/	913092735	ENCODE Processing Pipeline	80d46a312d8b2ca0bfa8530ed526920f		https://www.encodeproject.org/files/ENCFF058QKX/@@download/ENCFF058QKX.bam				released	s3://encode-public/2020/12/26/78c0a81f-d6cb-4feb-95a8-dc45495dbe9c/ENCFF058QKX.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/78c0a81f-d6cb-4feb-95a8-dc45495dbe9c/ENCFF058QKX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF114RAX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BQY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										PML-human	DNA						2012-02-29	ENCODE		see document		2	2_1							/files/ENCFF263IKB/, /files/ENCFF728MBI/, /files/ENCFF838ZUU/, /files/ENCFF356LFX/, /files/ENCFF113TEZ/, /files/ENCFF428XAM/	350771	ENCODE Processing Pipeline	9c4dcb016809b8030ce3c4c9d5d150cc		https://www.encodeproject.org/files/ENCFF114RAX/@@download/ENCFF114RAX.bed.gz				released	s3://encode-public/2020/12/26/184c6bc3-7522-4b55-a3c9-839f24c3385b/ENCFF114RAX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/184c6bc3-7522-4b55-a3c9-839f24c3385b/ENCFF114RAX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF051FNO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BQY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										PML-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF263IKB/, /files/ENCFF728MBI/, /files/ENCFF838ZUU/, /files/ENCFF058QKX/, /files/ENCFF356LFX/, /files/ENCFF113TEZ/, /files/ENCFF428XAM/	352659	ENCODE Processing Pipeline	afc8c6d7df8b8fb4678e8b11fbfb572b		https://www.encodeproject.org/files/ENCFF051FNO/@@download/ENCFF051FNO.bed.gz				released	s3://encode-public/2020/12/26/3ca30c2a-0053-4f6a-9d72-7dd716d79ca9/ENCFF051FNO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/3ca30c2a-0053-4f6a-9d72-7dd716d79ca9/ENCFF051FNO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF989RWS	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BQY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										PML-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF263IKB/, /files/ENCFF728MBI/, /files/ENCFF838ZUU/, /files/ENCFF058QKX/, /files/ENCFF356LFX/, /files/ENCFF113TEZ/, /files/ENCFF428XAM/	289123	ENCODE Processing Pipeline	1eeec8898e4a2a2f7889b0a792c45aa7		https://www.encodeproject.org/files/ENCFF989RWS/@@download/ENCFF989RWS.bed.gz				released	s3://encode-public/2020/12/26/8f92672b-b854-4009-9c5c-9e1e06bab177/ENCFF989RWS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/8f92672b-b854-4009-9c5c-9e1e06bab177/ENCFF989RWS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, low read length		
ENCFF000RWN	bam	bam		alignments	hg19	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1		35					/files/ENCFF000RWV/	512848026	Vishwanath Iyer, UTA	430800736a44af531dad4f97f89ee865		https://www.encodeproject.org/files/ENCFF000RWN/@@download/ENCFF000RWN.bam				archived	s3://encode-public/2012/07/26/bccc2ae1-c1e0-41f0-90a2-98a2d4e13e14/ENCFF000RWN.bam	https://datasetencode.blob.core.windows.net/dataset/2012/07/26/bccc2ae1-c1e0-41f0-90a2-98a2d4e13e14/ENCFF000RWN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF000RWQ	bam	bam		alignments	hg19	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1		36					/files/ENCFF000RXB/	949354361	Vishwanath Iyer, UTA	af9f57932eeb79b4e46b76597b24df2a		https://www.encodeproject.org/files/ENCFF000RWQ/@@download/ENCFF000RWQ.bam				archived	s3://encode-public/2012/07/26/7d97bb41-0326-4fc3-93d0-90d42c330bed/ENCFF000RWQ.bam	https://datasetencode.blob.core.windows.net/dataset/2012/07/26/7d97bb41-0326-4fc3-93d0-90d42c330bed/ENCFF000RWQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF000RWV	fastq	fastq		reads		ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1	35		single-ended					487453392	Vishwanath Iyer, UTA	0cb2219e1742000f919c7b74b042a8ec		https://www.encodeproject.org/files/ENCFF000RWV/@@download/ENCFF000RWV.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000RWS/	released	s3://encode-public/2012/07/26/cfc24508-59ef-46a8-85c4-7d853312891f/ENCFF000RWV.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2012/07/26/cfc24508-59ef-46a8-85c4-7d853312891f/ENCFF000RWV.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF000RXB	fastq	fastq		reads		ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1	36		single-ended					1077044139	Vishwanath Iyer, UTA	be625e4898d465f75fd1f350e6beeecb		https://www.encodeproject.org/files/ENCFF000RXB/@@download/ENCFF000RXB.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000RWS/	released	s3://encode-public/2012/07/26/f99af339-aafa-41af-ac71-8754ace7dc32/ENCFF000RXB.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2012/07/26/f99af339-aafa-41af-ac71-8754ace7dc32/ENCFF000RXB.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF001UTF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR000DLY	TF ChIP-seq		EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document											2943334	Vishwanath Iyer, UTA	cce54edb5e2bd0631db9d67b6025055e		https://www.encodeproject.org/files/ENCFF001UTF/@@download/ENCFF001UTF.bed.gz				archived	s3://encode-public/2012/07/26/a8085569-a1b4-46dc-81bb-14d69925e366/ENCFF001UTF.narrowPeak.gz	https://datasetencode.blob.core.windows.net/dataset/2012/07/26/a8085569-a1b4-46dc-81bb-14d69925e366/ENCFF001UTF.narrowPeak.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF002DBE	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DLY	TF ChIP-seq		EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document											393445	ENCODE Consortium Analysis Working Group	76fdcd501f47277f244843987ac855ba		https://www.encodeproject.org/files/ENCFF002DBE/@@download/ENCFF002DBE.bed.gz				archived	s3://encode-public/2014/06/06/46eda16c-78b0-49f7-aa2e-29f78367bd70/ENCFF002DBE.narrowPeak.gz	https://datasetencode.blob.core.windows.net/dataset/2014/06/06/46eda16c-78b0-49f7-aa2e-29f78367bd70/ENCFF002DBE.narrowPeak.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF151ZKL	bam	bam		unfiltered alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1		35					/files/ENCFF000RWV/, /files/ENCFF643CGH/	656051073	ENCODE Processing Pipeline	1bc15ae4b010570ad86e2fefd6df1c91		https://www.encodeproject.org/files/ENCFF151ZKL/@@download/ENCFF151ZKL.bam				released	s3://encode-public/2016/12/11/09598b1b-1cd3-4ef5-bab0-a481a65f24bf/ENCFF151ZKL.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/09598b1b-1cd3-4ef5-bab0-a481a65f24bf/ENCFF151ZKL.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF922BNS	bam	bam		alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1		35					/files/ENCFF000RWV/, /files/ENCFF643CGH/	379694589	ENCODE Processing Pipeline	bb93c13a04b3c7eba9c4702925cbe08f		https://www.encodeproject.org/files/ENCFF922BNS/@@download/ENCFF922BNS.bam				released	s3://encode-public/2016/12/11/c803b7aa-7ecc-4783-9b53-3488daa66c90/ENCFF922BNS.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/c803b7aa-7ecc-4783-9b53-3488daa66c90/ENCFF922BNS.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF872FER	bam	bam		unfiltered alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF000RXB/	1301614260	ENCODE Processing Pipeline	29579769054296f5904dec54fbc5b095		https://www.encodeproject.org/files/ENCFF872FER/@@download/ENCFF872FER.bam				released	s3://encode-public/2016/12/11/cd184a1f-29c2-4bd0-a52a-190d936f69cd/ENCFF872FER.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/cd184a1f-29c2-4bd0-a52a-190d936f69cd/ENCFF872FER.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF306VZA	bam	bam		alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1		36					/files/ENCFF643CGH/, /files/ENCFF000RXB/	514735105	ENCODE Processing Pipeline	18255d2ebd0dfc49100d16f54f1c5b22		https://www.encodeproject.org/files/ENCFF306VZA/@@download/ENCFF306VZA.bam				released	s3://encode-public/2016/12/11/ff67b453-350a-46eb-949f-3bd200222398/ENCFF306VZA.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/ff67b453-350a-46eb-949f-3bd200222398/ENCFF306VZA.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF232TIW	bam	bam		alignments	hg19	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1		35					/files/ENCFF000RWV/, /files/ENCFF807MUK/	380108233	ENCODE Processing Pipeline	c7f6eab0097d88354578dc6361cec877		https://www.encodeproject.org/files/ENCFF232TIW/@@download/ENCFF232TIW.bam				released	s3://encode-public/2016/12/11/b0ac974f-704f-4127-8601-518cb5024853/ENCFF232TIW.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/b0ac974f-704f-4127-8601-518cb5024853/ENCFF232TIW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF571RLG	bam	bam		unfiltered alignments	hg19	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1		35					/files/ENCFF000RWV/, /files/ENCFF807MUK/	655060647	ENCODE Processing Pipeline	51a6160b568e4b1cf372d994a4a372d5		https://www.encodeproject.org/files/ENCFF571RLG/@@download/ENCFF571RLG.bam				released	s3://encode-public/2016/12/11/4e639755-1c70-437c-807a-75851bed0ea7/ENCFF571RLG.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/4e639755-1c70-437c-807a-75851bed0ea7/ENCFF571RLG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF557TSR	bam	bam		unfiltered alignments	hg19	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000RXB/	1299028740	ENCODE Processing Pipeline	140cc77ccdbdc200028288529088c1d5		https://www.encodeproject.org/files/ENCFF557TSR/@@download/ENCFF557TSR.bam				released	s3://encode-public/2016/12/11/8d89a713-03dc-43fd-a272-ee5ee4c4b1f5/ENCFF557TSR.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/8d89a713-03dc-43fd-a272-ee5ee4c4b1f5/ENCFF557TSR.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF397EBT	bam	bam		alignments	hg19	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000RXB/	515195901	ENCODE Processing Pipeline	c0ca48ee7c148b4d99bbb32fa36d4065		https://www.encodeproject.org/files/ENCFF397EBT/@@download/ENCFF397EBT.bam				released	s3://encode-public/2016/12/11/683fb739-81ed-4ffb-aaf8-5c1f5d56a00c/ENCFF397EBT.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/11/683fb739-81ed-4ffb-aaf8-5c1f5d56a00c/ENCFF397EBT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF596SXG	bam	bam		unfiltered alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1		35					/files/ENCFF110MCL/, /files/ENCFF000RWV/	643993546	ENCODE Processing Pipeline	063559424f82cd93e7eea6a441a2ed16		https://www.encodeproject.org/files/ENCFF596SXG/@@download/ENCFF596SXG.bam				released	s3://encode-public/2020/12/27/e5e2c6ca-b2b2-482f-9902-8c758035e8f4/ENCFF596SXG.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/e5e2c6ca-b2b2-482f-9902-8c758035e8f4/ENCFF596SXG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF082HAE	bam	bam		unfiltered alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1		35					/files/ENCFF000RXB/, /files/ENCFF110MCL/	1250893883	ENCODE Processing Pipeline	8f982728151ac71406d493aa93757d32		https://www.encodeproject.org/files/ENCFF082HAE/@@download/ENCFF082HAE.bam				released	s3://encode-public/2020/12/27/3a983938-b3e4-4481-a791-58bed89f90df/ENCFF082HAE.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/3a983938-b3e4-4481-a791-58bed89f90df/ENCFF082HAE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF058BNL	bam	bam		alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1		35					/files/ENCFF110MCL/, /files/ENCFF000RWV/	426110779	ENCODE Processing Pipeline	c75a3ab809c163eefe7ffccf93bec303		https://www.encodeproject.org/files/ENCFF058BNL/@@download/ENCFF058BNL.bam				released	s3://encode-public/2020/12/27/50533bce-31f3-4e8a-a7a3-e047890c6fac/ENCFF058BNL.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/50533bce-31f3-4e8a-a7a3-e047890c6fac/ENCFF058BNL.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF509SVN	bam	bam		alignments	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1		35					/files/ENCFF000RXB/, /files/ENCFF110MCL/	558931604	ENCODE Processing Pipeline	3dd6224b7a02af68be7c9c20f1d52b15		https://www.encodeproject.org/files/ENCFF509SVN/@@download/ENCFF509SVN.bam				released	s3://encode-public/2020/12/27/82b109af-bc61-48fe-8c98-21dc3436bb17/ENCFF509SVN.bam	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/82b109af-bc61-48fe-8c98-21dc3436bb17/ENCFF509SVN.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF479OFW	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF500EAO/, /files/ENCFF356LFX/, /files/ENCFF058BNL/, /files/ENCFF509SVN/	414345	ENCODE Processing Pipeline	0798b54af61e20d82e36e6dfb3a7bfd5		https://www.encodeproject.org/files/ENCFF479OFW/@@download/ENCFF479OFW.bed.gz				released	s3://encode-public/2020/12/27/2ace3d5b-f678-469d-90ac-d582b5c66bfc/ENCFF479OFW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/2ace3d5b-f678-469d-90ac-d582b5c66bfc/ENCFF479OFW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF560CXL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1	1_1							/files/ENCFF356LFX/, /files/ENCFF058BNL/, /files/ENCFF500EAO/	256317	ENCODE Processing Pipeline	a9898df2e82c2178fde94f74048d0d29		https://www.encodeproject.org/files/ENCFF560CXL/@@download/ENCFF560CXL.bed.gz				released	s3://encode-public/2020/12/27/3012231a-3886-4c0c-a53f-e7c6da4aa738/ENCFF560CXL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/3012231a-3886-4c0c-a53f-e7c6da4aa738/ENCFF560CXL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF410CPY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF500EAO/, /files/ENCFF356LFX/, /files/ENCFF058BNL/, /files/ENCFF509SVN/	508066	ENCODE Processing Pipeline	b78e8b765151122111ed77e05cde30c7		https://www.encodeproject.org/files/ENCFF410CPY/@@download/ENCFF410CPY.bed.gz				released	s3://encode-public/2020/12/27/def4af5d-749f-40da-825c-4325b7295280/ENCFF410CPY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/def4af5d-749f-40da-825c-4325b7295280/ENCFF410CPY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF595GOH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DLY	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POLR2A-human	DNA						2011-03-17	ENCODE		see document		2	2_1							/files/ENCFF500EAO/, /files/ENCFF356LFX/, /files/ENCFF509SVN/	446191	ENCODE Processing Pipeline	08e7a1d136243339985bac757f2fadcc		https://www.encodeproject.org/files/ENCFF595GOH/@@download/ENCFF595GOH.bed.gz				released	s3://encode-public/2020/12/27/24d5029a-ed52-4fc7-8b29-f634f2abd779/ENCFF595GOH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/24d5029a-ed52-4fc7-8b29-f634f2abd779/ENCFF595GOH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, low read depth, low read length	insufficient read length	
ENCFF000PZJ	bam	bam		alignments	hg19	ENCSR000BMD	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ELF1-human	DNA						2011-07-18	ENCODE		see document		1	1_1		36					/files/ENCFF000PZV/	432779940	Richard Myers, HAIB	4b3bfc98f1cb4281475f256442454c3d		https://www.encodeproject.org/files/ENCFF000PZJ/@@download/ENCFF000PZJ.bam				archived	s3://encode-public/2012/01/23/b8e185bf-31c8-41a7-87ac-f021da35eee1/ENCFF000PZJ.bam	https://datasetencode.blob.core.windows.net/dataset/2012/01/23/b8e185bf-31c8-41a7-87ac-f021da35eee1/ENCFF000PZJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			mild to moderate bottlenecking, low read length, control low read depth	severe bottlenecking, insufficient read depth, insufficient replicate concordance, poor library complexity	
